QuickFLow Export
Version: 1.0.0
Project name: 794b
Date: sex fev 5 12:10:42 2016

--------------------------------------------------------------------------------
Network: A1
Bars: 793
Lines: 792
--------------------------------------------------------------------------------

             Id  Voltage_A_Abs Voltage_A_Phas  Voltage_B_Abs Voltage_B_Phas  Voltage_C_Abs Voltage_C_Phas  Current_A_Abs Current_A_Phas  Current_B_Abs Current_B_Phas  Current_C_Abs Current_C_Phas    Load_A_Real    Load_A_Imag    Load_B_Real    Load_B_Imag    Load_C_Real    Load_C_Imag   Shunt_A_Real   Shunt_A_Imag   Shunt_B_Real   Shunt_B_Imag   Shunt_C_Real   Shunt_C_Imag              
             73    7664.558713   -3.479127622    7816.729924    -121.905227    7866.382936    118.6302587              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
             74    7664.558713   -3.479127622    7816.729924    -121.905227    7866.382936    118.6302587    13.04706556   -86.52087238    12.79307344    31.90522704    12.71232291    151.3697413              0              0              0              0              0              0              0         100000              0         100000              0         100000              
             75    7664.558713   -3.479127622    7816.729924    -121.905227    7866.382936    118.6302587              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
             76    7656.684639   -3.539816276    7822.293646   -121.9167152    7865.346939     118.661202              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
             77    7656.684639   -3.539816276    7822.293646   -121.9167152    7865.346939     118.661202              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
             78    7648.103456   -3.588361023    7808.323187   -121.9622555    7860.024388    118.5868278              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
             79    7648.103456   -3.588361023    7808.323187   -121.9622555    7860.024388    118.5868278              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
             80    7648.042998   -3.588831007    7808.367488   -121.9623461    7860.018149    118.5870118              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
             81    7648.042998   -3.588831007    7808.367488   -121.9623461    7860.018149    118.5870118              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
             82    7647.779714   -3.590869542    7808.559902   -121.9627425    7859.991257    118.5878119              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
